structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A→A→B→B→C,1,229
A→A→B→B→C→C→D→D→A→A→B→B→A→A→D→D→E→E→B→B→A,1,232
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B→B→C,1,234
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B→B→C→C→D,1,236
A→A→B→B→C→C→D→D→B→B→A→A→C→C→D→D→B→B→C→C→A,1,240
A→A→B→B→A→A→C→C→B→B→D→D→A→A→B→B→E→E→A→A→B,1,241
A→A→B→B→C→C→B→B→C→C→A→A→D→D→E→E→B→B→C→C→A,1,244
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→C→C→E→E→A,1,245
A→A→B→B→A→A→C→C→D→D→B→B→A→A→E→E→B→B→A→A→B,1,255
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→D→D→B→B→A,1,262
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→C→C→B→B→A,1,264
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→A→A→B→B→C,1,267
A→A→B→B→A→A→C→C→A→A→B→B→D→D→B→B→A→A→D→D→B,1,268
A→A→B→B→C→C→D→D→B→B→A→A→B→B→C→C→A→A→B→B→A,1,270
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→D→D→E→E→A,1,274
A→A→B→B→A→A→C→C→B→B→A→A→D→D→E→E→F→F→D→D→E,1,277
A→A→B→B→C→C→A→A→D→D→A→A→B→B→C→C→A→A→B→B→D,1,278
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D,1,281
A→A→B→B→C→C→A→A→B→B→D→D→A→A→C→C→B→B→C→C→A,1,283
A→A→B→B→A→A→B→B→A→A→B→B→C→C→D→D→E→E→D→D→F,1,284
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→B→B→D→D→A,1,290
A→A→B→B→C→C→A→A→D→D→C→C→E→E→A→A→B→B→C→C→A,1,293
A→A→B→B→A→A→C→C→B→B→A→A→B→B→D→D→C→C→B→B→A,1,298
A→A→B→B→A→A→C→C→D→D→A→A→C→C→B→B→A→A→B→B→A,1,301
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→D→D→B→B→A,1,302
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D→D→E→E→A,1,303
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→D→D→B→B→C,1,306
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→D→D→C,1,308
A→A→B→B→C→C→B→B→A→A→D→D→B→B→A→A→D→D→B→B→A,1,309
A→A→B→B→C→C→A→A→C→C→A→A→C→C→A→A→B→B→C→C→A,1,317
A→A→B→B→A→A→C→C→D→D→B→B→A→A→E→E→B→B→A→A→C,1,319
A→A→B→B→C→C→D→D→C→C→A→A→B→B→C→C→B→B→A→A→D,1,323
A→A→B→B→A→A→B→B→C→C→D→D→C→C→D→D→C→C→B→B→A,1,329
A→A→B→B→C→C→D→D→C→C→B→B→D→D→C→C→B→B→A→A→B,1,331
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B→B→D→D→C,1,332
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A→A→D→D→E,1,333
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→C→C→B→B→D,1,334
A→A→B→B→A→A→C→C→D→D→C→C→A→A→B→B→A→A→B→B→C,1,335
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→A→A→B→B→C,1,340
A→A→B→B→C→C→D→D→E→E→D→D→C→C→A→A→B→B→D→D→C,1,342
A→A→B→B→C→C→D→D→B→B→C→C→E→E→B→B→D→D→C→C→B,1,347
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C,1,348
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→C→C→D→D→B,1,349
A→A→B→B→A→A→C→C→A→A→D→D→B→B→A→A→B→B→A→A→C,1,351
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→D→D→B→B→A,1,357
A→A→B→B→C→C→D→D→C→C→B→B→A→A→D→D→C→C→D→D→C,1,360
A→A→B→B→C→C→B→B→D→D→C→C→B→B→C→C→B→B→C→C→B,1,361
A→A→B→B→C→C→D→D→E→E→A→A→C→C→A→A→E→E→D→D→C,1,364
A→A→B→B→C→C→D→D→E→E→B→B→C→C→D→D→A→A→B→B→C,1,366
A→A→B→B→C→C→D→D→E→E→A→A→D→D→C→C→B→B→A→A→C,1,370
A→A→B→B→C→C→A→A→B→B→C→C→D→D→C→C→A→A→B→B→C,1,373
A→A→B→B→A→A→C→C→D→D→C→C→D→D→A→A→B→B→A→A→C,1,380
A→A→B→B→A→A→B→B→A→A→C→C→A→A→B→B→A→A→C→C→D,1,386
A→A→B→B→A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B,1,387
A→A→B→B→C→C→D→D→E→E→B→B→D→D→C→C→B→B→A→A→C,1,389
A→A→B→B→C→C→D→D→B→B→E→E→A→A→D→D→B→B→C→C→B,1,390
A→A→B→B→C→C→D→D→E→E→A→A→C→C→D→D→B→B→A→A→F,1,393
A→A→B→B→C→C→D→D→C→C→D→D→A→A→C→C→D→D→C→C→D,1,394
A→A→B→B→C→C→D→D→C→C→D→D→B→B→C→C→D→D→C→C→D,1,396
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→E→E→B→B→C,1,401
