structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→F→F→G→G→H,1,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B,1,9
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→C→C→B→B,1,10
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→C→C→A→A→B,1,17
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→C→C→A→A→B,1,19
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→E→E→F→F→G,1,23
A→A→B→B→C→C→D→D→E→E→A→A→F→F→D→D→C→C→A→A→B,1,26
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→H,1,27
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→C→C→B→B,1,31
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→D→D→E→E→C,1,32
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→B→B→G→G→A,1,34
A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→E→E→A→A→F,1,36
A→A→B→B→C→C→D→D→B→B→E→E→F→F→A→A→G→G→C→C→B,1,38
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→B→B→D→D,1,39
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B,1,40
A→A→B→B→C→C→D→D→E→E→F→F→A→A→D→D→G→G→B→B→C,1,43
A→A→B→B→C→C→D→D→A→A→E→E→F→F→B→B→G→G→C→C→D,1,44
A→A→B→B→C→C→D→D→E→E→F→F→C→C→B→B→G→G→D→D→H,1,45
A→A→B→B→C→C→D→D→E→E→F→F→C→C→G→G→H→H→B→B→C,1,47
A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→E→E→H→H→C,1,49
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→D→D→E→E→G,1,50
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→E→E→C,1,51
A→A→B→B→C→C→D→D→E→E→F→F→C→C→D→D→A→A→B→B→C,1,58
A→A→B→B→C→C→D→D→E→E→F→F→C→C→B→B→D→D→C→C→E,1,60
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→C→C→A,1,62
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→E→E→D→D→A,1,63
