test_id,elevation,amplitude,initial_mean,initial_std,corr_mean,corr_std,corr_range,rhythm_detected,mean_period,mean_strength,n_rhythmic_motives
161,0.4222222222222222,0.19444444444444445,-0.2777777777777778,0.5,0.4701388888888889,0.2315396917550524,0.7722222222222223,False,0.0,0.0,0
162,-0.12222222222222223,0.5722222222222222,0.5,0.2,-0.05347222222222222,0.5248672487953736,1.6944444444444444,False,0.0,0.0,0
163,0.18888888888888888,0.95,0.2777777777777777,0.2,0.17152777777777778,0.648362357129079,1.761111111111111,False,0.0,0.0,1
164,-0.04444444444444445,0.47777777777777775,-0.05555555555555558,0.2,0.02638888888888887,0.46577088298013947,1.5222222222222221,False,0.0,0.0,0
165,0.3444444444444445,0.6666666666666666,-0.5,0.1,0.34305555555555556,0.46945060811206757,1.3222222222222222,False,0.0,0.0,2
166,0.033333333333333326,0.6666666666666666,0.05555555555555558,0.30000000000000004,0.07083333333333332,0.5310988347023764,1.6333333333333333,False,0.0,0.0,1
167,0.3444444444444445,0.5722222222222222,-0.3888888888888889,0.5,0.3548611111111111,0.41999997703556663,1.2277777777777776,False,0.0,0.0,1
168,-0.2,0.95,-0.3888888888888889,0.5,-0.16875,0.7193475776702108,2.15,False,0.0,0.0,1
169,0.5,0.28888888888888886,0.5,0.2,0.5263888888888889,0.24869644717909858,0.7888888888888889,False,0.0,0.0,0
170,0.4222222222222222,0.5722222222222222,0.16666666666666663,0.5,0.4229166666666667,0.4056072788554143,1.15,False,0.0,0.0,0
171,0.1111111111111111,0.7611111111111111,0.38888888888888884,0.4,0.12708333333333333,0.5619111286603475,1.65,False,0.0,0.0,1
172,-0.04444444444444445,0.8555555555555555,0.2777777777777777,0.30000000000000004,-0.020833333333333322,0.6405398355014288,1.9,False,0.0,0.0,0
173,0.18888888888888888,0.8555555555555555,-0.16666666666666669,0.1,0.18333333333333335,0.597241601752756,1.6666666666666665,False,0.0,0.0,0
