elevation,amplitude,mean_correlation,negative_correlation_count,negative_correlation_mean,decay_rate,net_flow_active,net_flow_others,total_system_flow,is_balanced,empirical_drift,final_mean_satisfaction,dissatisfied_fraction,system_unstable
-0.2571428571428571,0.6714285714285715,-0.18392857142857139,40,-0.5813372498043871,0.03551785714285714,0.16448214285714285,-0.05096428571428571,-0.19226785714285716,False,-0.0006922649444970484,-0.5149526193184277,0.99975,False
-0.2571428571428571,0.7285714285714286,-0.19107142857142861,40,-0.6089282619457939,0.03573214285714286,0.16426785714285716,-0.05153571428571428,-0.1964821428571428,False,5.450242589540965e-06,-0.5110465141143609,0.9995,False
-0.2571428571428571,0.7857142857142857,-0.1982142857142857,40,-0.6365192740872005,0.03594642857142857,0.16405357142857144,-0.05210714285714285,-0.20069642857142853,False,-0.0008797858965347134,-0.5243222824711429,0.99925,False
-0.2571428571428571,0.8428571428571429,-0.20535714285714285,40,-0.6641102862286075,0.03616071428571428,0.16383928571428574,-0.05267857142857142,-0.20491071428571422,False,0.0006626428312074023,-0.5252165856797298,0.99975,False
-0.2571428571428571,0.9,-0.21249999999999997,40,-0.6917012983700143,0.036375,0.16362500000000002,-0.05324999999999999,-0.2091249999999999,False,0.0008373858146220848,-0.5437118405262815,0.9984999999999999,False
-0.21428571428571427,0.1,-0.07499999999999998,56,-0.2285714285714286,0.03225,0.16775,-0.04225,-0.128,False,-0.0009069131057823084,-0.4248708975898343,1.0,False
-0.21428571428571427,0.15714285714285714,-0.08214285714285713,56,-0.23673469387755103,0.03246428571428571,0.1675357142857143,-0.042821428571428566,-0.13221428571428567,False,-0.0006949198869651144,-0.42530626771749835,0.99975,False
-0.21428571428571427,0.2142857142857143,-0.08928571428571427,56,-0.24489795918367346,0.032678571428571425,0.1673214285714286,-0.04339285714285714,-0.13642857142857143,False,-7.769546959147097e-05,-0.44003198679886146,1.0,False
-0.21428571428571427,0.27142857142857146,-0.09642857142857142,56,-0.2530612244897959,0.03289285714285715,0.16710714285714287,-0.04396428571428572,-0.14064285714285715,False,-0.0005689943965212127,-0.4376487262621966,1.0,False
-0.21428571428571427,0.3285714285714286,-0.10357142857142856,40,-0.3729340340988034,0.033107142857142856,0.16689285714285715,-0.04453571428571429,-0.14485714285714288,False,-0.0009435114030592736,-0.45996677650642515,0.99975,False
-0.21428571428571427,0.3857142857142858,-0.11071428571428568,40,-0.40052504624021024,0.03332142857142857,0.16667857142857145,-0.04510714285714286,-0.14907142857142858,False,-0.00011460442456061694,-0.4535661612922885,1.0,False
-0.21428571428571427,0.44285714285714284,-0.11785714285714285,40,-0.42811605838161704,0.03353571428571429,0.16646428571428573,-0.04567857142857143,-0.15328571428571425,False,-0.0010358225410576983,-0.47223996358632025,1.0,True
-0.21428571428571427,0.5,-0.125,40,-0.45570707052302384,0.03375,0.16625,-0.04625,-0.15749999999999997,False,-0.0008713561479356608,-0.48902436755477874,0.9995,False
-0.21428571428571427,0.5571428571428572,-0.13214285714285712,40,-0.4832980826644306,0.03396428571428571,0.1660357142857143,-0.04682142857142857,-0.1617142857142857,False,-0.001048161339999301,-0.48179268515249263,1.0,True
-0.21428571428571427,0.6142857142857143,-0.1392857142857143,40,-0.5108890948058373,0.034178571428571426,0.1658214285714286,-0.04739285714285714,-0.1659285714285714,False,0.00040689151569436546,-0.4819467812905239,1.0,False
-0.21428571428571427,0.6714285714285715,-0.14642857142857144,40,-0.5384801069472442,0.03439285714285714,0.16560714285714287,-0.047964285714285716,-0.17014285714285712,False,-0.0006146923680319532,-0.5022217302211487,0.99925,False
-0.21428571428571427,0.7285714285714286,-0.1535714285714286,40,-0.5660711190886512,0.03460714285714286,0.16539285714285715,-0.048535714285714286,-0.17435714285714285,False,1.6268305286904057e-05,-0.5178083632822116,0.9977499999999999,False
-0.21428571428571427,0.7857142857142857,-0.16071428571428575,40,-0.5936621312300578,0.03482142857142857,0.16517857142857145,-0.049107142857142856,-0.17857142857142855,False,0.00022674135678137506,-0.5158079648670685,0.99725,False
-0.21428571428571427,0.8428571428571429,-0.1678571428571429,40,-0.6212531433714646,0.03503571428571429,0.16496428571428573,-0.04967857142857143,-0.18278571428571427,False,-0.0003744737371055126,-0.5048617004114707,0.998,False
-0.21428571428571427,0.9,-0.17500000000000004,40,-0.6488441555128714,0.03525,0.16475,-0.05025,-0.187,False,0.0010318763954764209,-0.497088808875096,0.9967499999999999,False
