step,active_behavior
792,motive_4
793,motive_1
794,motive_1
795,motive_6
796,motive_6
797,motive_8
798,motive_8
799,motive_6
800,motive_6
801,motive_8
802,motive_8
803,motive_6
804,motive_6
805,motive_4
806,motive_4
807,motive_8
808,motive_8
809,motive_1
810,motive_1
811,motive_6
812,motive_6
813,motive_8
814,motive_8
815,motive_6
816,motive_6
817,motive_4
818,motive_4
819,motive_8
820,motive_8
821,motive_1
822,motive_1
823,motive_6
824,motive_6
825,motive_8
826,motive_8
827,motive_6
828,motive_6
829,motive_4
830,motive_4
831,motive_1
832,motive_1
833,motive_8
834,motive_8
835,motive_6
836,motive_6
837,motive_8
838,motive_8
839,motive_4
840,motive_4
841,motive_1
842,motive_1
843,motive_6
844,motive_6
845,motive_8
846,motive_8
847,motive_6
848,motive_6
849,motive_4
850,motive_4
851,motive_1
852,motive_1
853,motive_8
854,motive_8
855,motive_6
856,motive_6
857,motive_4
858,motive_4
859,motive_1
860,motive_1
861,motive_8
862,motive_8
863,motive_6
864,motive_6
865,motive_8
866,motive_8
867,motive_6
868,motive_6
869,motive_4
870,motive_4
871,motive_1
872,motive_1
873,motive_8
874,motive_8
875,motive_6
876,motive_6
877,motive_8
878,motive_8
879,motive_6
880,motive_6
881,motive_1
882,motive_1
883,motive_8
884,motive_8
885,motive_4
886,motive_4
887,motive_6
888,motive_6
889,motive_8
890,motive_8
891,motive_1
892,motive_1
893,motive_4
894,motive_4
895,motive_6
896,motive_6
897,motive_7
898,motive_7
899,motive_4
900,motive_4
901,motive_2
902,motive_2
903,motive_1
904,motive_1
905,motive_4
906,motive_4
907,motive_2
908,motive_2
909,
910,motive_7
911,motive_7
912,motive_4
913,motive_4
914,motive_6
915,motive_6
916,motive_8
917,motive_8
918,motive_1
919,motive_1
920,motive_6
921,motive_6
922,motive_8
923,motive_8
924,motive_4
925,motive_4
926,motive_6
927,motive_6
928,motive_1
929,motive_1
930,motive_8
931,motive_8
932,motive_6
933,motive_6
934,motive_4
935,motive_4
936,motive_8
937,motive_8
938,motive_1
939,motive_1
940,motive_6
941,motive_6
942,motive_8
943,motive_8
944,motive_6
945,motive_6
946,motive_8
947,motive_8
948,motive_6
949,motive_6
950,motive_1
951,motive_1
952,motive_4
953,motive_4
954,motive_2
955,motive_2
956,
957,
958,
959,
960,motive_1
961,motive_1
962,motive_4
963,motive_4
964,motive_2
965,motive_2
966,motive_7
967,motive_7
968,motive_4
969,motive_4
970,motive_6
971,motive_6
972,motive_7
973,motive_7
974,motive_4
975,motive_4
976,motive_2
977,motive_2
978,motive_1
979,motive_1
980,motive_4
981,motive_4
982,motive_2
983,motive_2
984,
985,motive_7
986,motive_7
987,motive_4
988,motive_4
989,motive_6
