step,motive,satisfaction
98,motive_1,0.8060000000000002
98,motive_2,-1.0
98,motive_3,0.6779999999999999
98,motive_4,-0.794
98,motive_5,-1.0
98,motive_6,-0.7820000000000001
98,motive_7,1.0
98,motive_8,-0.6480000000000002
99,motive_1,0.6450000000000001
99,motive_2,0.0
99,motive_3,0.4629999999999999
99,motive_4,-1.0
99,motive_5,-1.0
99,motive_6,-1.0
99,motive_7,0.451
99,motive_8,-0.8640000000000002
