step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
243,0.55,0.19,0.74,0.424,0.176,0.045,0.592,0.251
244,0.54,0.173,0.72,0.407,0.166,0.042,0.592,0.248
245,0.53,0.156,0.7,0.39,0.156,0.039,0.592,0.245
246,0.52,0.139,0.68,0.373,0.146,0.036,0.592,0.242
247,0.51,0.122,0.66,0.356,0.136,0.033,0.592,0.239
248,0.5,0.105,0.64,0.339,0.126,0.03,0.592,0.236
249,0.49,0.088,0.62,0.322,0.116,0.027,0.592,0.233
250,0.48,0.071,0.6,0.305,0.106,0.024,0.592,0.23
251,0.47,0.054,0.58,0.288,0.096,0.021,0.592,0.227
252,0.46,0.037,0.56,0.271,0.086,0.018,0.592,0.224
253,0.45,0.02,0.54,0.254,0.076,0.015,0.592,0.221
254,0.44,0.003,0.52,0.237,0.066,0.012,0.592,0.218
255,0.43,-0.014,0.5,0.22,0.056,0.009,0.592,0.215
256,0.379,0.986,0.403,0.103,0.005,0.106,0.515,0.112
257,0.328,1.0,0.306,-0.014,-0.046,0.203,0.438,0.009
258,0.418,0.942,0.136,-0.072,0.954,0.159,0.288,-0.035
259,0.508,0.884,-0.034,-0.13,1.0,0.115,0.138,-0.079
260,0.457,0.767,-0.131,0.87,0.949,0.012,0.061,0.018
261,0.406,0.65,-0.228,1.0,0.898,-0.091,-0.016,0.115
262,0.355,0.733,-0.325,0.883,0.847,0.909,-0.093,0.012
263,0.304,0.816,-0.422,0.766,0.796,1.0,-0.17,-0.091
264,0.144,0.722,0.578,0.672,0.636,0.92,-0.07,-0.171
265,-0.016,0.628,1.0,0.578,0.476,0.84,0.03,-0.251
266,-0.067,0.511,0.903,0.661,0.425,0.737,-0.047,0.749
267,-0.118,0.394,0.806,0.744,0.374,0.634,-0.124,1.0
268,-0.278,0.3,0.886,0.65,0.214,0.554,0.876,0.92
269,-0.438,0.206,0.966,0.556,0.054,0.474,1.0,0.84
270,0.562,0.148,0.796,0.498,0.144,0.43,0.85,0.796
271,1.0,0.09,0.626,0.44,0.234,0.386,0.7,0.752
272,0.99,0.073,0.606,0.423,0.224,0.383,0.7,0.749
273,0.98,0.056,0.586,0.406,0.214,0.38,0.7,0.746
274,0.97,0.039,0.566,0.389,0.204,0.377,0.7,0.743
275,0.96,0.022,0.546,0.372,0.194,0.374,0.7,0.74
276,0.95,0.005,0.526,0.355,0.184,0.371,0.7,0.737
277,0.94,-0.012,0.506,0.338,0.174,0.368,0.7,0.734
278,0.889,0.988,0.409,0.221,0.123,0.465,0.623,0.631
279,0.838,1.0,0.312,0.104,0.072,0.562,0.546,0.528
280,0.828,0.983,0.292,0.087,0.062,0.559,0.546,0.525
281,0.818,0.966,0.272,0.07,0.052,0.556,0.546,0.522
282,0.808,0.949,0.252,0.053,0.042,0.553,0.546,0.519
283,0.798,0.932,0.232,0.036,0.032,0.55,0.546,0.516
284,0.788,0.915,0.212,0.019,0.022,0.547,0.546,0.513
285,0.778,0.898,0.192,0.002,0.012,0.544,0.546,0.51
286,0.768,0.881,0.172,-0.015,0.002,0.541,0.546,0.507
287,0.717,0.764,0.075,0.985,-0.049,0.438,0.469,0.604
288,0.666,0.647,-0.022,1.0,-0.1,0.335,0.392,0.701
289,0.756,0.589,-0.192,0.942,0.9,0.291,0.242,0.657
290,0.846,0.531,-0.362,0.884,1.0,0.247,0.092,0.613
291,0.686,0.437,0.638,0.79,0.84,0.167,0.192,0.533
292,0.526,0.343,1.0,0.696,0.68,0.087,0.292,0.453
293,0.516,0.326,0.98,0.679,0.67,0.084,0.292,0.45
294,0.506,0.309,0.96,0.662,0.66,0.081,0.292,0.447
295,0.496,0.292,0.94,0.645,0.65,0.078,0.292,0.444
296,0.486,0.275,0.92,0.628,0.64,0.075,0.292,0.441
297,0.476,0.258,0.9,0.611,0.63,0.072,0.292,0.438
298,0.466,0.241,0.88,0.594,0.62,0.069,0.292,0.435
299,0.456,0.224,0.86,0.577,0.61,0.066,0.292,0.432
300,0.446,0.207,0.84,0.56,0.6,0.063,0.292,0.429
301,0.436,0.19,0.82,0.543,0.59,0.06,0.292,0.426
302,0.426,0.173,0.8,0.526,0.58,0.057,0.292,0.423
303,0.416,0.156,0.78,0.509,0.57,0.054,0.292,0.42
304,0.406,0.139,0.76,0.492,0.56,0.051,0.292,0.417
305,0.396,0.122,0.74,0.475,0.55,0.048,0.292,0.414
306,0.386,0.105,0.72,0.458,0.54,0.045,0.292,0.411
307,0.376,0.088,0.7,0.441,0.53,0.042,0.292,0.408
308,0.366,0.071,0.68,0.424,0.52,0.039,0.292,0.405
309,0.356,0.054,0.66,0.407,0.51,0.036,0.292,0.402
310,0.346,0.037,0.64,0.39,0.5,0.033,0.292,0.399
311,0.336,0.02,0.62,0.373,0.49,0.03,0.292,0.396
312,0.326,0.003,0.6,0.356,0.48,0.027,0.292,0.393
313,0.316,-0.014,0.58,0.339,0.47,0.024,0.292,0.39
314,0.265,0.986,0.483,0.222,0.419,0.121,0.215,0.287
315,0.214,1.0,0.386,0.105,0.368,0.218,0.138,0.184
316,0.204,0.983,0.366,0.088,0.358,0.215,0.138,0.181
317,0.194,0.966,0.346,0.071,0.348,0.212,0.138,0.178
318,0.184,0.949,0.326,0.054,0.338,0.209,0.138,0.175
319,0.174,0.932,0.306,0.037,0.328,0.206,0.138,0.172
320,0.164,0.915,0.286,0.02,0.318,0.203,0.138,0.169
321,0.154,0.898,0.266,0.003,0.308,0.2,0.138,0.166
322,0.144,0.881,0.246,-0.014,0.298,0.197,0.138,0.163
323,0.093,0.764,0.149,0.986,0.247,0.094,0.061,0.26
324,0.042,0.647,0.052,1.0,0.196,-0.009,-0.016,0.357
325,-0.118,0.553,0.132,0.906,0.036,-0.089,0.984,0.277
326,-0.278,0.459,0.212,0.812,-0.124,-0.169,1.0,0.197
327,-0.329,0.542,0.115,0.695,-0.175,0.831,0.923,0.094
328,-0.38,0.625,0.018,0.578,-0.226,1.0,0.846,-0.009
329,0.62,0.567,-0.152,0.52,-0.136,0.956,0.696,-0.053
