step,motive,satisfaction
70,motive_7,-1.0
70,motive_8,-0.6820000000000002
71,motive_1,-1.0
71,motive_2,-0.8820000000000001
71,motive_3,0.05799999999999983
71,motive_4,-0.7110000000000001
71,motive_5,1.0
71,motive_6,-0.10899999999999996
71,motive_7,-1.0
71,motive_8,-1.0
72,motive_1,-1.0
72,motive_2,-1.0
72,motive_3,1.0
72,motive_4,-1.0
72,motive_5,1.0
72,motive_6,-0.27199999999999996
72,motive_7,-1.0
72,motive_8,-1.0
73,motive_1,-1.0
73,motive_2,-1.0
73,motive_3,0.6910000000000001
73,motive_4,-0.8460000000000001
73,motive_5,0.872
73,motive_6,-0.31399999999999995
73,motive_7,-1.0
73,motive_8,0.0
74,motive_1,-1.0
74,motive_2,-1.0
74,motive_3,0.38200000000000006
74,motive_4,-0.6920000000000002
74,motive_5,0.744
74,motive_6,-0.356
74,motive_7,-1.0
74,motive_8,1.0
75,motive_1,-1.0
75,motive_2,0.0
75,motive_3,0.16700000000000004
75,motive_4,-0.8560000000000002
75,motive_5,0.562
75,motive_6,-0.659
75,motive_7,-1.0
75,motive_8,0.642
76,motive_1,-1.0
76,motive_2,1.0
76,motive_3,-0.04799999999999999
76,motive_4,-1.0
76,motive_5,0.38
76,motive_6,-0.962
76,motive_7,-1.0
76,motive_8,0.28400000000000003
77,motive_1,-1.0
77,motive_2,0.694
77,motive_3,-0.504
77,motive_4,0.0
77,motive_5,0.098
77,motive_6,-1.0
77,motive_7,-1.0
77,motive_8,0.29599999999999993
78,motive_1,-1.0
78,motive_2,0.3879999999999999
78,motive_3,-0.96
78,motive_4,1.0
78,motive_5,-0.184
78,motive_6,-1.0
78,motive_7,-1.0
78,motive_8,0.30799999999999994
79,motive_1,0.0
79,motive_2,0.05599999999999988
79,motive_3,-1.0
79,motive_4,0.9690000000000001
79,motive_5,-0.309
79,motive_6,-1.0
79,motive_7,-1.0
79,motive_8,0.029999999999999916
80,motive_1,1.0
80,motive_2,-0.27600000000000013
80,motive_3,-1.0
80,motive_4,0.9380000000000002
80,motive_5,-0.43400000000000005
80,motive_6,-1.0
80,motive_7,-1.0
80,motive_8,-0.2480000000000001
81,motive_1,0.8919999999999999
81,motive_2,-0.8960000000000001
81,motive_3,-1.0
81,motive_4,0.7100000000000002
81,motive_5,-0.735
81,motive_6,-1.0
81,motive_7,0.0
81,motive_8,-0.5370000000000001
82,motive_1,0.7839999999999998
82,motive_2,-1.0
82,motive_3,-1.0
82,motive_4,0.4820000000000002
82,motive_5,-1.0
82,motive_6,-1.0
82,motive_7,1.0
82,motive_8,-0.8260000000000002
83,motive_1,0.5339999999999998
83,motive_2,-1.0
83,motive_3,-1.0
83,motive_4,0.2940000000000002
83,motive_5,-1.0
83,motive_6,0.0
83,motive_7,0.815
83,motive_8,-1.0
84,motive_1,0.28399999999999986
84,motive_2,-1.0
84,motive_3,-1.0
84,motive_4,0.1060000000000002
84,motive_5,-1.0
84,motive_6,1.0
84,motive_7,0.6299999999999999
84,motive_8,-1.0
85,motive_1,-0.07700000000000012
85,motive_2,0.0
85,motive_3,-1.0
85,motive_4,-0.0579999999999998
85,motive_5,-1.0
85,motive_6,0.6970000000000001
85,motive_7,0.0809999999999999
85,motive_8,-1.0
86,motive_1,-0.4380000000000001
86,motive_2,1.0
86,motive_3,-1.0
86,motive_4,-0.2219999999999998
86,motive_5,-1.0
86,motive_6,0.39400000000000013
86,motive_7,-0.4680000000000001
86,motive_8,-1.0
87,motive_1,-0.7450000000000001
87,motive_2,0.642
87,motive_3,-1.0
87,motive_4,-0.06799999999999984
87,motive_5,-1.0
87,motive_6,0.3520000000000001
87,motive_7,-0.6860000000000002
87,motive_8,0.0
88,motive_1,-1.0
88,motive_2,0.28400000000000003
88,motive_3,-1.0
88,motive_4,0.08600000000000013
88,motive_5,-1.0
88,motive_6,0.31000000000000005
88,motive_7,-0.9040000000000001
88,motive_8,1.0
89,motive_1,-1.0
89,motive_2,-0.33599999999999997
89,motive_3,-1.0
89,motive_4,-0.14199999999999988
89,motive_5,-1.0
89,motive_6,0.19600000000000006
89,motive_7,0.09599999999999986
