step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
168,0.764,0.865,0.658,0.62,0.188,0.626,0.785,0.642
169,0.744,0.838,0.628,0.593,0.168,0.613,0.775,0.629
170,0.724,0.811,0.598,0.566,0.148,0.6,0.765,0.616
171,0.704,0.784,0.568,0.539,0.128,0.587,0.755,0.603
172,0.684,0.757,0.538,0.512,0.108,0.574,0.745,0.59
173,0.664,0.73,0.508,0.485,0.088,0.561,0.735,0.577
174,0.644,0.703,0.478,0.458,0.068,0.548,0.725,0.564
175,0.624,0.676,0.448,0.431,0.048,0.535,0.715,0.551
176,0.604,0.649,0.418,0.404,0.028,0.522,0.705,0.538
177,0.584,0.622,0.388,0.377,0.008,0.509,0.695,0.525
178,0.564,0.595,0.358,0.35,-0.012,0.496,0.685,0.512
179,0.624,0.654,0.428,0.465,0.988,0.597,0.775,0.557
180,0.684,0.713,0.498,0.58,1.0,0.698,0.865,0.602
181,0.664,0.686,0.468,0.553,0.98,0.685,0.855,0.589
182,0.644,0.659,0.438,0.526,0.96,0.672,0.845,0.576
183,0.624,0.632,0.408,0.499,0.94,0.659,0.835,0.563
184,0.604,0.605,0.378,0.472,0.92,0.646,0.825,0.55
185,0.584,0.578,0.348,0.445,0.9,0.633,0.815,0.537
186,0.564,0.551,0.318,0.418,0.88,0.62,0.805,0.524
187,0.544,0.524,0.288,0.391,0.86,0.607,0.795,0.511
188,0.524,0.497,0.258,0.364,0.84,0.594,0.785,0.498
189,0.504,0.47,0.228,0.337,0.82,0.581,0.775,0.485
190,0.484,0.443,0.198,0.31,0.8,0.568,0.765,0.472
191,0.464,0.416,0.168,0.283,0.78,0.555,0.755,0.459
192,0.444,0.389,0.138,0.256,0.76,0.542,0.745,0.446
193,0.424,0.362,0.108,0.229,0.74,0.529,0.735,0.433
194,0.404,0.335,0.078,0.202,0.72,0.516,0.725,0.42
195,0.384,0.308,0.048,0.175,0.7,0.503,0.715,0.407
196,0.364,0.281,0.018,0.148,0.68,0.49,0.705,0.394
197,0.344,0.254,-0.012,0.121,0.66,0.477,0.695,0.381
198,0.424,0.341,0.988,0.236,0.74,0.55,0.765,0.426
199,0.504,0.428,1.0,0.351,0.82,0.623,0.835,0.471
200,0.484,0.401,0.97,0.324,0.8,0.61,0.825,0.458
201,0.464,0.374,0.94,0.297,0.78,0.597,0.815,0.445
202,0.444,0.347,0.91,0.27,0.76,0.584,0.805,0.432
203,0.424,0.32,0.88,0.243,0.74,0.571,0.795,0.419
204,0.404,0.293,0.85,0.216,0.72,0.558,0.785,0.406
205,0.384,0.266,0.82,0.189,0.7,0.545,0.775,0.393
206,0.364,0.239,0.79,0.162,0.68,0.532,0.765,0.38
207,0.344,0.212,0.76,0.135,0.66,0.519,0.755,0.367
208,0.324,0.185,0.73,0.108,0.64,0.506,0.745,0.354
209,0.304,0.158,0.7,0.081,0.62,0.493,0.735,0.341
210,0.284,0.131,0.67,0.054,0.6,0.48,0.725,0.328
211,0.264,0.104,0.64,0.027,0.58,0.467,0.715,0.315
212,0.244,0.077,0.61,0.0,0.56,0.454,0.705,0.302
213,0.224,0.05,0.58,-0.027,0.54,0.441,0.695,0.289
214,0.262,0.123,0.692,0.973,0.662,0.528,0.743,0.276
215,0.3,0.196,0.804,1.0,0.784,0.615,0.791,0.263
216,0.28,0.169,0.774,0.973,0.764,0.602,0.781,0.25
217,0.26,0.142,0.744,0.946,0.744,0.589,0.771,0.237
218,0.24,0.115,0.714,0.919,0.724,0.576,0.761,0.224
219,0.22,0.088,0.684,0.892,0.704,0.563,0.751,0.211
220,0.2,0.061,0.654,0.865,0.684,0.55,0.741,0.198
221,0.18,0.034,0.624,0.838,0.664,0.537,0.731,0.185
222,0.16,0.007,0.594,0.811,0.644,0.524,0.721,0.172
223,0.14,-0.02,0.564,0.784,0.624,0.511,0.711,0.159
224,0.234,0.98,0.648,0.857,0.69,0.578,0.787,0.246
225,0.328,1.0,0.732,0.93,0.756,0.645,0.863,0.333
226,0.308,0.973,0.702,0.903,0.736,0.632,0.853,0.32
227,0.288,0.946,0.672,0.876,0.716,0.619,0.843,0.307
228,0.268,0.919,0.642,0.849,0.696,0.606,0.833,0.294
