seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
671,8,2000,0.30880417099917956,1,0.2,0.3,0.2,0.3,True,21,58,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
672,8,2000,0.25927512110659445,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→D→D→C→C→B→B→C→C→A→A→B→B→C
673,8,2000,0.39039503160915473,1,0.2,0.3,0.2,0.3,True,21,490,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
674,8,2000,0.3102757489388298,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→A→A→D→D→E→E→F→F→B→B→D→D→A
675,8,2000,0.3760674351468109,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→C→C→B→B→D→D→C→C→B
676,8,2000,0.322544242156786,1,0.2,0.3,0.2,0.3,True,21,18,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C
677,8,2000,0.379338022949388,1,0.2,0.3,0.2,0.3,True,21,30,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C
678,8,2000,0.29624969411747326,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A
679,8,2000,0.293080002161727,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C
680,8,2000,0.29914871036136753,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→C→C→E→E→D→D→C→C→B
681,8,2000,0.381826005824163,1,0.2,0.3,0.2,0.3,True,21,146,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
682,8,2000,0.31331240932991505,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→D→D→A→A→D→D→A→A→E→E→B→B→C→C→B
683,8,2000,0.36308608855379976,1,0.2,0.3,0.2,0.3,True,21,94,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
684,8,2000,0.3119305192998226,1,0.2,0.3,0.2,0.3,True,21,23,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C
685,8,2000,0.34696543054238244,1,0.2,0.3,0.2,0.3,True,21,25,A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C
686,8,2000,0.25533348419461704,1,0.2,0.3,0.2,0.3,True,21,475,A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C
687,8,2000,0.36386983231855036,1,0.2,0.3,0.2,0.3,True,21,18,A→A→B→B→C→C→D→D→A→A→D→D→C→C→B→B→A→A→D→D→C
688,8,2000,0.34895051700816737,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→B→B→A
689,8,2000,0.3653997536758901,1,0.2,0.3,0.2,0.3,True,21,89,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
690,8,2000,0.3855767442340588,1,0.2,0.3,0.2,0.3,True,21,41,A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B
691,8,2000,0.3488613490788662,1,0.2,0.3,0.2,0.3,True,21,107,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
692,8,2000,0.3708831802893982,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→D→D→A→A→B→B→C→C→E→E→C→C→B
693,8,2000,0.3553352843753433,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→D→D→A
694,8,2000,0.37560584158920546,1,0.2,0.3,0.2,0.3,True,21,8,A→A→B→B→C→C→D→D→A→A→C→C→D→D→C→C→A→A→D→D→C
695,8,2000,0.38415169310404934,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→A
696,8,2000,0.40734368224283396,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C
697,8,2000,0.27512412844398176,1,0.2,0.3,0.2,0.3,True,21,6,A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→D→D→B→B→A
